Linja;Suunta;Pysäkit
1;1;61.4635168913,23.733297985;Pirkkahalli;61.467047648,23.721381618;Saapastie;61.4673428663,23.7187221227;Kenkätie;61.4692696227,23.7192890015;Partola;61.4706198918,23.7261317037;Valmetinkatu;61.4705646778,23.7290666429;Tarmonkatu;61.4703659114,23.7365041479;Tierankatu;61.470120579,23.7416369332;Leirintäkatu;61.4699143247,23.7506709405;Talvitie;61.4711400742,23.75499313;Kannistonkatu;61.4729866071,23.7589882167;Rantaperkiö;61.475271352,23.764421742;Hatanpään koulu;61.4796265465,23.7636312547;Vihilahti;61.4829428868,23.7629672617;Hatanpään vt 42;61.486357078,23.7668015092;Verotalo;61.4884550086,23.7708106809;Viinikanlahti;61.4910037756,23.7714857161;Hatanpään vt 24;61.4938014625,23.7705378983;Linja-autoasema;61.4975122538,23.7660561225;Koskipuisto;61.4976677546,23.7589927746;Keskustori C;61.4972418216,23.7531739521;Tuulensuu;61.4977181763,23.7501738058;Metso;61.4979924393,23.7424776973;Pyynikintori;61.4986341105,23.7355133776;Ammattikoulu;61.4988851333,23.7276313545;Tipotie;61.5021183789,23.7209008192;Rajaportti;61.5043318537,23.7147277013;Pulteri;61.5051620729,23.7096775007;Ahjola;61.5064052915,23.6994325005;Pispalantori;61.5074352867,23.6911644144;Hyhkynkatu;61.5087419238,23.6835806439;Haapalinna;61.5083708045,23.6713063292;Epilä;61.5078906517,23.6619578891;Tohlopinranta 23;61.507113544,23.6577362587;Tohlopinjärvi;61.5053464048,23.6516099041;Yleisradio;61.5037759643,23.6429065925;Kohmankatu;61.5048311112,23.6296152464;Länsitori;61.5046871416,23.6172804759;Tesomajärvenkatu;61.5046294103,23.6117036803;Tesomankatu;61.5007802515,23.607179522;Leirikatu;61.4993181854,23.5989751085;Juoksuhaudankatu;61.4997087482,23.5951921148;Kalkunvuorenkatu 3;61.4981359941,23.5919248119;Ristaniitynkatu;61.4971959755,23.5877427351;Ristaniitynkatu 13;61.4957196339,23.5851044293;Pitkäniemenkatu;61.4945192793,23.5787903416;Kalkun viertotie 17;61.4941794536,23.5752759427;Kalkun viertotie 20;61.4947470547,23.5696320699;Kalkku;
1;2;61.4947470547,23.5696320699;Kalkku;61.4941181627,23.5756961297;Petsankatu;61.4942820814,23.5797184607;Kalkun viertotie;61.4957540295,23.585401371;Pitkäniemenkatu;61.4968891045,23.5873253342;Ristaniitynkatu 10;61.4979846089,23.5923360946;Ristaniitynkatu;61.4994829262,23.5951416531;Kalkunvuorenkatu 4;61.4990944286,23.6004467718;Juoksuhaudankatu;61.4997403054,23.6068982054;Leirikatu;61.5044212185,23.6127226378;Tesomankatu 27;61.5044168854,23.6190580774;Tesomajärvenkatu;61.5044831391,23.6297093353;Länsitori;61.5048108944,23.6317040475;Terveysasema;61.5034531659,23.6407421331;Kohmankatu;61.5053101072,23.6515950197;Yleisradio;61.5066451445,23.6565834695;Tohlopinjärvi;61.5079940031,23.6632439758;Tohlopinranta;61.5081464554,23.6705783445;Epilä;61.5085686196,23.6827343299;Haapalinna;61.5070501585,23.6937996116;Hyhkynkatu;61.5061819726,23.6987418494;Pispalantori;61.5050329378,23.709164824;Ahjola;61.5036285027,23.7164748738;Pulteri;61.501133595,23.7225270004;Rajaportti;61.4989347473,23.7267052631;Pirkankatu 37;61.4983980345,23.7354065912;Ammattikoulu;61.4977599512,23.7421449482;Pyynikintori;61.4974404958,23.7483235398;Aleksanterin kirkko;61.4971334001,23.7535235114;Tuulensuu;61.4975869512,23.760504585;Keskustori H;61.4973698542,23.7657326469;Koskipuisto;61.4936053191,23.7702200261;Linja-autoasema;61.4878089102,23.769318417;Verotalo;61.4860797603,23.7642003569;Hatanpään vt 25;61.4830262808,23.7623199705;Hatanpään vt 31;61.480563308,23.7629892282;Vihilahti;61.475045215,23.7639757723;Hatanpään koulu;61.4734528503,23.7597096093;Rantaperkiö;61.4714025742,23.7550784737;Kannistonkatu;61.4700546391,23.7482717514;Talvitie;61.4703929408,23.742885246;Leirintäkatu ;61.4705204484,23.7365818455;Tierankatu;61.4707089826,23.7298401;Tarmonkatu;61.4707554809,23.7250472004;Valmetinkatu;61.469397681,23.7190126513;Kenkätie 2;61.4672428846,23.7183008155;Kenkätie 6;61.4668183399,23.7215559256;Saapastie;61.4635168913,23.733297985;Pirkkahalli;
2;1;61.5126695464,23.7848985282;Rauhaniemi;61.5130208309,23.7815155367;Romsinlahti;61.5122111692,23.7787979556;Koukkuniemi;61.5103976755,23.7776885696;Lapinniemi;61.5085570851,23.7773340682;Naistenlahti;61.5063449799,23.7738036793;Kastinsilta;61.5053902343,23.7782448027;Koiratori;61.5039878596,23.7793298122;Tapionkatu;61.502190663,23.7792903193;Tammelantori;61.4995368909,23.7794897967;Tammelan puistokatu 34;61.4990110737,23.7773829931;Itsenäisyydenkatu 3;61.4984138844,23.7692323729;Rautatieasema;61.4982116471,23.7652505174;Koskipuisto;61.4976677546,23.7589927746;Keskustori C;61.4972816449,23.7537147735;Tuulensuu;61.4977472689,23.7506405845;Metso;61.4974965595,23.742022186;Pyynikintori;
2;2;61.4974965595,23.742022186;Pyynikintori;61.4974404958,23.7483235398;Aleksanterin kirkko;61.4971334001,23.7535235114;Tuulensuu;61.497507419,23.7586712067;Keskustori F;61.4979410241,23.765579334;Koskipuisto;61.4986618593,23.7724954108;Rautatieasema;61.4998512688,23.7798707027;Tammelankatu;61.5021018375,23.7797130011;Tammelantori;61.5039855345,23.7796120059;Tapionkatu;61.5054966019,23.7774255234;Koiratori;61.5059888241,23.7739346164;Kastinsilta;61.5086026778,23.7777429222;Naistenlahti;61.510540476,23.7780309632;Lapinniemi;61.5119862929,23.7787836439;Koukkuniemi;61.5126695464,23.7848985282;Rauhaniemi;
Y2;1;61.5126695464,23.7848985282;Rauhaniemi;61.5122111692,23.7787979556;Koukkuniemi;61.5103976755,23.7776885696;Lapinniemi;61.5085570851,23.7773340682;Naistenlahti;61.5089462725,23.7873512651;Kaupin sairaala;61.5063449799,23.7738036793;Kastinsilta;61.5053902343,23.7782448027;Koiratori;61.5039878596,23.7793298122;Tapionkatu;61.502190663,23.7792903193;Tammelantori;61.4995368909,23.7794897967;Tammelan puistokatu 34;61.4990110737,23.7773829931;Itsenäisyydenkatu 3;61.4984138844,23.7692323729;Rautatieasema;61.4982116471,23.7652505174;Koskipuisto;61.4975885815,23.7579298658;Keskustori B;
Y2;2;61.497507419,23.7586712067;Keskustori F;61.4979410241,23.765579334;Koskipuisto;61.4986618593,23.7724954108;Rautatieasema;61.4998512688,23.7798707027;Tammelankatu;61.5021018375,23.7797130011;Tammelantori;61.5039855345,23.7796120059;Tapionkatu;61.5054966019,23.7774255234;Koiratori;61.5059888241,23.7739346164;Kastinsilta;61.5089462725,23.7873512651;Kaupin sairaala;61.5086026778,23.7777429222;Naistenlahti;61.510540476,23.7780309632;Lapinniemi;61.5119862929,23.7787836439;Koukkuniemi;61.5126695464,23.7848985282;Rauhaniemi;
3;1;61.5049988087,23.8008976948;Petsamo;61.5065642373,23.8013946168;Lusankatu 15;61.5079292085,23.8002391741;Koljontie 31;61.5083690694,23.7933512238;Koljontie 29;61.5076578809,23.790228845;Veljeskoti;61.5071374575,23.7871996887;Kaupin sairaala;61.5042318314,23.786240372;Kalevan puistotie 6;61.5016102429,23.7866615147;Tammelan koulu;61.4990892129,23.784873359;Itsenäisyydenkatu 25;61.4990110737,23.7773829931;Itsenäisyydenkatu 3;61.4985184494,23.7706122102;Rautatieasema;61.4982116471,23.7652505174;Koskipuisto;61.497395996,23.7615392366;Keskustori P;61.4973698542,23.7657326469;Koskipuisto;61.4936053191,23.7702200261;Linja-autoasema;61.4878089102,23.769318417;Verotalo;61.4859851491,23.7647549677;Sarvis;61.484347017,23.7574301797;Hatanpään sairaala;61.4830262808,23.7623199705;Hatanpään vt 31;61.480563308,23.7629892282;Vihilahti;61.4768203146,23.764974493;Hatanpään hovi;61.4760841985,23.7706659833;Veturikatu;61.4717872115,23.775430034;Koivistontie;61.471000906,23.7828153657;Ammattikoulu;61.4698588846,23.7877022369;Koivistonkeskus;61.4685088492,23.7925350718;Nirvankatu 18;61.46522536,23.7923098349;Nirvankallionkatu;61.4654968304,23.7897288043;Nirvankatu 52;61.4629447283,23.7858620169;TAKK;61.4597337089,23.7830023147;Särkijärvenkatu;61.4554558073,23.7809852865;Perkiö;61.4542023125,23.772426006;IKEA;
3;2;61.4542023125,23.772426006;IKEA;61.4546814396,23.775210139;Postitorvenkatu;61.4551198824,23.7808323007;Leppästensuonkatu;61.4573650679,23.7838660964;Lahdesjärvi;61.4593614913,23.7843545677;Tuotekatu 4;61.4605210174,23.7805935986;Särkijärvenkatu;61.4628963917,23.7857168121;TAKK;61.4654144376,23.7896621985;Nirvansuonkatu;61.4655032942,23.7941960738;Nirvankallionkatu;61.4689006981,23.79163111;Nirvankatu;61.4696120486,23.7890419643;Koivistonkeskus;61.4709912682,23.7850695063;Koivistontie 35;61.4711474575,23.7825561371;Ammattikoulu;61.4726666615,23.7750197868;Koivistontie;61.4761806664,23.7720832138;Veturikatu;61.4768988022,23.7671448171;Hatanpään hovi;61.4796265465,23.7636312547;Vihilahti;61.4835671583,23.7608924859;Hatanpään puistokuja;61.4842802301,23.7576437573;Hatanpään sairaala;61.4860402841,23.7614054306;Sarvis;61.486357078,23.7668015092;Verotalo;61.4884550086,23.7708106809;Viinikanlahti;61.4910037756,23.7714857161;Hatanpään vt 24;61.4938014625,23.7705378983;Linja-autoasema;61.4975122538,23.7660561225;Koskipuisto;61.497441329,23.7608016296;Keskustori I;61.4979410241,23.765579334;Koskipuisto;61.4986618593,23.7724954108;Rautatieasema;61.4988689576,23.7812502736;Itsenäisyydenkatu 10;61.4989210916,23.7853605549;Itsenäisyydenkatu 16;61.5023004375,23.7869849218;Tammelan koulu;61.5047574378,23.787201107;Saukkola;61.5069885615,23.7877413934;Kaupin sairaala;61.507748543,23.7910278337;Veljeskoti;61.5082195234,23.7931034841;Koljontie 30;61.5083739622,23.795850965;Kaupinkatu;61.5076282206,23.8011912215;Koljontie 62;61.5068207334,23.803905938;Koljontie 74;61.5049988087,23.8008976948;Petsamo;
Y3;1;61.4976517975,23.7613435027;Keskustori K;61.4973698542,23.7657326469;Koskipuisto;61.4936053191,23.7702200261;Linja-autoasema;61.4913337791,23.7721466678;Tampereen valtatie;61.4894130204,23.7794098546;Viinikan liittymä;61.4830088662,23.7763530922;Kuokkamaantie;61.4593614913,23.7843545677;Tuotekatu 4;61.4605210174,23.7805935986;Särkijärvenkatu;61.4628963917,23.7857168121;TAKK;
Y3;2;
